"4","1","161","Abang","80852"
"8","1","17","Abiansemal","80352"
"396","1","31","Bangli","80611 - 80614"
"408","1","88","Banjar","81152"
"416","1","187","Banjarangkan","80752"
"587","1","419","Baturiti","82191"
"603","1","161","Bebandem","80861"
"615","1","121","Belah Batuh (Blahbatuh)","80581"
"935","1","88","Buleleng","81111 - 81119"
"999","1","88","Busungbiu","81154"
"1316","1","187","Dawan","80761"
"1344","1","107","Denpasar Barat","80112 - 80119"
"1345","1","107","Denpasar Selatan","80221 - 80229"
"1346","1","107","Denpasar Timur","80232 - 80239"
"1347","1","107","Denpasar Utara","80111 - 80239"
"1577","1","88","Gerokgak","81155"
"1587","1","121","Gianyar","80511 - 80515"
"1895","1","152","Jembrana","82211 - 82218"
"2111","1","161","Karang Asem","80811 - 80813"
"2257","1","419","Kediri","82121 - 82123"
"2373","1","419","Kerambitan","82161"
"2423","1","31","Kintamani","80652"
"2453","1","187","Klungkung","80711 - 80716"
"2605","1","161","Kubu","80853"
"2610","1","88","Kubutambahan","81172"
"2651","1","17","Kuta","80361"
"2659","1","17","Kuta Selatan","80361"
"2660","1","17","Kuta Utara","80361"
"3129","1","161","Manggis","80871"
"3192","1","419","Marga","82181"
"3302","1","152","Melaya","82252"
"3318","1","152","Mendoyo","82261"
"3324","1","17","Mengwi","80351"
"3604","1","152","Negara","82212 - 82218"
"3706","1","187","Nusapenida","80771"
"4118","1","121","Payangan","80572"
"4149","1","152","Pekutatan","82262"
"4184","1","419","Penebel","82152"
"4221","1","17","Petang","80353"
"4462","1","419","Pupuan","82163"
"4625","1","161","Rendang","80863"
"4839","1","88","Sawan","81171"
"4932","1","161","Selat","80862"
"4936","1","419","Selemadeg","82162"
"4937","1","419","Selemadeg Barat","82162"
"4938","1","419","Selemadeg Timur","82162"
"5040","1","88","Seririt","81153"
"5107","1","161","Sidemen","80864"
"5391","1","88","Sukasada","81161"
"5400","1","121","Sukawati","80582"
"5546","1","31","Susut","80661"
"5561","1","419","Tabanan","82111 - 82115"
"5672","1","121","Tampak Siring","80552"
"5857","1","121","Tegallalang","80561"
"5867","1","88","Tejakula","81173"
"5924","1","31","Tembuku","80671"
"6171","1","121","Ubud","80571"
"55","2","28","Air Gegas","33782"
"268","2","53","Badau","33451"
"293","2","26","Bakam","33252"
"625","2","26","Belinyu","33253"
